month,metric
2021-01-01,2596100.58473543
2021-02-01,2997554.142863277
2021-03-01,3301165.201674991
2021-04-01,3229718.3185239644
2021-05-01,3470780.273840168
2021-06-01,3403509.9402498747
2021-07-01,3690450.701550618
2021-08-01,3605588.86004761
2021-09-01,3574964.4027553154
2021-10-01,3680978.171304842
2021-11-01,3486777.5145289768
2021-12-01,3424826.135933623
2022-01-01,3737030.895728925
2022-02-01,4196803.630312413
2022-03-01,4569577.852283308
2022-04-01,4415036.030817704
2022-05-01,4432460.79232088
2022-06-01,4097466.015501044
2022-07-01,4173458.531003211
2022-08-01,3933344.128914694
2022-09-01,3889455.19244352
2022-10-01,3938469.197657466
2022-11-01,3754881.269077828
2022-12-01,3711582.508099878
2023-01-01,3811231.009371478
2023-02-01,4268857.177857537
2023-03-01,4710765.91206212
2023-04-01,4485519.473992113
2023-05-01,4225467.053307074
2023-06-01,3924124.573775284
2023-07-01,4082741.008651898
2023-08-01,3950685.102256768
2023-09-01,3979754.4441565326
