month,metric
2020-01-01,0.0
2020-02-01,22.33
2020-03-01,41.34
2020-04-01,34.53
2020-05-01,28.31
2020-06-01,28.4
2020-07-01,28.55
2020-08-01,27.55
2020-09-01,28.82
2020-10-01,24.1
2020-11-01,20.13
2020-12-01,16.02
2021-01-01,14.0
2021-02-01,8.0
2021-03-01,9.0
2021-04-01,10.0
2021-05-01,13.0
2021-06-01,15.68
2021-07-01,15.97
2021-08-01,18.96
2021-09-01,14.41
2021-10-01,12.5
2021-11-01,10.91
2021-12-01,11.48
2022-01-01,10.38
2022-02-01,8.37
2022-03-01,5.77
2022-04-01,4.41
2022-05-01,4.17
2022-06-01,4.72
2022-07-01,2.94
2022-08-01,3.16
2022-09-01,2.3
2022-10-01,3.89
2022-11-01,4.14
2022-12-01,2.01
2023-01-01,2.93
2023-02-01,3.08
