day,metric
2021-10-04,102419.04000427242
2021-10-12,114317.05000000005
2021-10-23,144366.19000061037
2021-12-24,117415.38000427245
2021-12-27,80860.89999969483
2022-02-08,130508.80000213622
2022-02-21,121761.0100039673
2022-03-12,191600.18000930783
2022-03-15,141136.70000305178
2022-03-30,203185.5000003816
2022-05-13,178951.21999782562
2022-07-23,129241.15001159666
2022-10-03,97670.8500066376
2022-10-06,155823.4100054932
2022-10-16,111527.04001190187
2022-11-04,138946.11998931892
2022-12-07,141660.4500080109
2022-12-15,140035.75002899172
2023-01-03,90126.35001708983
2023-04-03,125352.95002349847
2023-04-05,184448.32000232724
2023-04-12,188152.5099985505
2023-05-15,112038.44000289918
2023-05-19,164087.75001602175
2023-05-28,126352.74001922608
2023-06-19,93757.67000885008
2023-07-15,149746.27999603274
2023-07-26,159424.25004737856
2023-08-08,107515.93999755866
2023-09-14,149817.170025177
2022-11-22,96153.04999275206
2023-08-17,160631.74003990175
2021-10-01,184376.9899987793
2021-10-19,120757.03999389648
2021-10-25,99475.25999626156
2021-12-21,102722.6699969482
2021-12-23,151951.19000732427
2022-01-21,141766.98999893188
2022-02-23,204507.5200076294
2022-03-22,135370.27000518795
2022-04-07,197855.9500225449
2022-04-30,184385.8500045777
2022-05-12,188772.7499917794
2022-11-19,118858.5500100708
2022-11-23,131739.41002227785
2022-12-30,154619.84000976567
2023-02-11,139249.49000000005
2023-04-16,134237.13999580385
2023-04-22,156481.0400077057
2023-05-11,192369.88999755864
2023-05-20,142539.9400093079
2023-06-16,167458.70001396182
2023-07-29,156589.84998565668
2023-08-01,110825.18002731328
2023-10-14,145537.18000335697
2022-12-22,127581.26000656132
2021-10-24,129458.11999999994
2021-11-17,192236.8800039673
2022-01-26,149191.34999938964
2022-03-05,188452.0500067139
2022-03-09,224799.8800036621
2022-03-29,139792.6200061035
2022-04-13,211642.16001251215
2022-04-17,147177.90999832156
2022-05-19,176114.39001649382
2022-06-16,157438.19000579827
2022-07-01,167228.68001464847
2022-09-18,110692.95000930788
2022-11-01,98970.66000679022
2022-11-29,100333.09999282836
2023-03-19,136818.4900279999
2023-03-22,168237.6200370789
2023-05-04,177485.6300131225
2023-05-05,172964.09999542235
2023-07-04,98820.01004295348
2023-07-18,100064.27002700804
2023-07-21,162645.84999259948
2023-07-23,118343.94001068117
2023-07-30,128512.8300064087
2023-08-29,114963.05002494813
2022-07-24,113191.86000320432
2021-10-06,128093.03000335697
2021-10-17,132155.1900012207
2021-11-26,158925.9999978638
2021-12-10,162780.7399975586
2022-01-03,99631.65000228882
2022-02-07,118221.96000152588
2022-02-22,130189.66999816896
2022-04-08,188774.3600067139
2022-04-21,191610.17999656685
2022-05-03,124802.19000274652
2022-06-12,118463.19001172068
2022-07-14,160655.55001472478
2022-08-24,144052.07000450135
2022-10-07,257762.9500016784
2022-10-25,99999.78000499724
2022-11-10,147301.90000091548
2022-12-17,112015.6200041962
2023-01-17,103831.91001571658
2023-05-07,111013.77998870848
2023-08-05,156848.9500081634
2021-11-02,111952.14999969484
2023-08-27,126028.25998649598
2023-09-10,114766.09000968932
2022-05-22,121223.87998939038
2021-10-31,145421.6199914551
2021-11-12,175963.84000000003
2021-11-22,100158.41999877933
2022-01-20,155413.2200021362
2022-01-30,102849.75999664306
2022-04-28,195793.80999610905
2022-05-14,150690.24001690393
2022-05-18,185997.2600045729
2022-05-24,107285.06999423503
2022-05-25,177777.29000477312
2022-05-29,131734.3200177002
2022-06-20,93053.55000785826
2022-09-08,154220.18998611448
2022-09-26,97618.08000976562
2022-10-11,106792.499985733
2023-01-22,82383.69000968934
2023-02-13,107076.88001464849
2023-02-18,156771.46001670838
2023-03-21,130710.93003952027
2023-04-01,163575.52997650145
2023-05-10,178015.37000915527
2023-06-25,114082.88001922608
2021-11-25,156835.24999824527
2023-09-07,156604.25004661558
2022-07-19,102117.2399966431
2021-11-01,107394.92999664308
2021-11-10,166999.79999328608
2021-11-15,104959.66999938965
2021-12-06,108852.77999999998
2022-01-14,165360.47000122073
2022-01-17,104963.46000152588
2022-01-25,102241.38999816892
2022-02-09,185997.24001800537
2022-02-24,220263.41999748227
2022-03-14,128609.35000366213
2022-04-01,200811.8000054932
2022-06-09,176051.31001387117
2022-06-29,132597.1200115203
2022-07-21,157279.11000785828
2022-07-25,96072.52999870302
2022-08-21,104817.8900215912
2022-09-05,80039.8500112915
2022-10-18,97801.25000114438
2022-12-08,134601.50002731322
2022-12-12,84530.25000366212
2023-01-16,87947.12001441958
2023-01-27,132706.6100107574
2023-02-26,160287.8100152588
2023-04-27,185555.2400205231
2023-06-01,183678.09002021787
2023-06-28,132700.4799946595
2023-06-29,177179.9300056458
2023-08-07,99781.34000579832
2023-08-16,176319.65002220153
2023-07-24,99347.3900017548
2023-09-16,134629.7399989319
2023-09-26,109390.70999824523
2021-10-02,153025.01000457763
2021-10-11,98805.46
2021-10-14,179020.98000045776
2021-11-06,144325.17999877926
2021-12-26,80211.12999786378
2022-02-12,164129.78999633796
2022-03-03,236860.1999993896
2022-03-07,131070.05000083918
2022-03-13,156427.57000000717
2022-03-24,200019.46000640868
2022-04-05,130471.16999847411
2022-04-06,200522.2200051117
2022-05-05,186903.47001096723
2022-07-29,182152.77000526435
2022-08-12,141784.9700073242
2022-08-23,100426.63999710082
2022-09-19,102284.86000885008
2022-10-27,142169.21999282844
2022-10-28,135851.929998703
2022-11-15,102413.5700092316
2022-12-02,137576.44002105744
2022-12-18,98429.150002594
2023-01-19,142413.46001022338
2023-06-23,155017.79004119878
2023-07-08,144690.43999702457
2023-08-24,159936.0399886322
2023-09-04,92927.95001487732
2023-09-28,159857.21006004338
2023-01-02,76515.52000770568
2021-11-13,175762.61001647956
2022-02-04,179263.3600015259
2022-04-20,200077.4599994659
2022-05-11,194188.4599951172
2022-06-14,112403.22998848438
2022-06-21,115872.27998519894
2022-08-14,111570.6500141909
2022-08-31,156126.24000541866
2022-09-20,105840.73001129155
2022-11-06,106453.71999382018
2022-11-13,111170.09998817442
2022-12-14,146263.05000854487
2023-01-14,118049.59000473974
2023-02-15,164098.3000064088
2023-02-20,100062.86001541137
2023-03-02,251630.29002143868
2023-03-09,199944.2000057221
2023-04-25,123432.05001342778
2023-05-21,120838.2299874115
2023-06-20,142277.51003234863
2023-08-03,120258.59002120972
2023-09-08,169107.789974556
2022-03-08,146156.74000701902
2022-11-25,128298.76001739503
2021-09-28,129518.14000434874
2022-01-04,109489.85000816346
2022-02-25,214685.69999237065
2022-03-23,183890.18000175475
2022-05-04,190138.86000267035
2022-06-01,174935.4400030517
2022-06-03,170184.8200074482
2022-06-17,165339.1400051117
2022-06-24,152748.70999801633
2022-07-05,103970.06000640868
2022-09-03,133539.9500019074
2022-09-13,96494.1499991608
2022-09-27,123171.66001037593
2022-10-26,145019.68003219605
2022-11-03,145678.6500125122
2023-01-11,148381.91000946047
2023-01-24,80142.4699899292
2023-02-09,171393.72001495364
2023-02-16,181043.7300470782
2023-07-06,168901.02002593994
2022-01-12,172457.24000274655
2023-08-21,99305.78000190736
2023-10-15,127383.58
2022-06-25,139690.95002891542
2022-10-14,137129.22998764034
2021-11-18,173732.16999923706
2021-11-21,129058.57000152592
2022-03-01,161554.49999847417
2022-04-04,114218.4899972534
2022-05-20,170716.53997979168
2022-06-11,145036.8400036335
2022-07-18,91485.61001068112
2022-11-11,129602.40002319336
2022-11-16,146389.36001625055
2023-01-29,99281.41999366765
2023-02-12,126482.640015564
2023-03-30,199849.97007369995
2023-04-10,112477.25
2023-04-20,189491.22999465943
2023-05-06,138040.61001129152
2021-11-28,129218.23999877927
2023-09-19,106895.8400302124
2022-12-26,62977.6900088501
2021-10-03,133739.1000024414
2021-11-19,170106.70000152587
2021-12-09,173800.84000236512
2021-12-15,179017.5500091553
2022-01-05,170519.76000579842
2022-01-08,153378.73999969484
2022-02-10,182118.0899890137
2022-04-18,117386.25000335692
2022-05-02,118269.79999664308
2022-05-26,161827.80000097275
2022-06-02,179578.89999786383
2022-06-05,121872.11000289922
2022-11-30,152953.89001510618
2023-01-07,115024.70000312806
2023-01-09,95456.30000534058
2023-01-15,105826.0000189972
2023-01-20,133881.15001411433
2023-05-13,156174.79000564577
2023-06-15,173649.10006217955
2023-07-02,125585.27999809268
2023-08-13,120656.00999916074
2021-11-16,115144.83000175472
2022-03-28,125070.04000122072
2022-05-08,141974.07998809806
2022-07-03,123254.2900053406
2022-09-07,160106.0000076294
2022-10-12,148081.83002166747
2023-03-27,121720.920031128
2023-04-21,176862.24002075195
2023-06-06,121282.11003829956
2023-07-20,166488.46001968387
2022-01-10,101829.65999893186
2023-08-23,166850.82005996705
2023-08-26,141491.07999450684
2023-09-29,161705.14997673038
2021-09-26,142446.83000419618
2021-11-04,180322.07000427248
2021-11-07,129858.11999908442
2021-11-23,106345.3500010681
2021-12-19,124560.5800065994
2022-01-09,125230.89000328064
2022-01-13,168559.6499987793
2022-02-19,179400.93000671393
2022-02-27,183275.5300097656
2022-03-25,193081.080005188
2022-05-21,147823.01003665928
2022-05-27,171505.45001240255
2022-06-08,164499.15000352383
2022-06-13,101573.12999141216
2022-06-27,93089.0700102234
2022-07-08,150783.41004074097
2022-07-10,119121.19000305176
2022-07-11,96412.92000724791
2022-07-13,167397.52003463748
2022-08-27,131757.11000350956
2022-09-15,163312.7799997712
2022-09-29,156620.98998245236
2022-10-19,144868.2099979401
2022-10-29,122120.64002724648
2022-11-27,112093.33002983092
2022-11-28,91642.33000427246
2023-01-04,149167.0999753189
2023-01-21,102682.51002380368
2023-03-04,173156.65003593435
2023-03-10,190222.45002746585
2023-05-09,116618.940002594
2023-05-18,183133.8499992752
2023-06-26,93863.61001243592
2022-08-29,89726.67001602174
2023-10-09,101847.87999328616
2021-11-05,182313.52001387603
2022-02-06,137918.57000732425
2022-02-13,138882.05000274663
2022-02-26,215790.440005951
2022-03-11,209591.23000053407
2022-03-31,205355.11999816904
2022-04-12,134330.40000328064
2022-04-22,182723.98999908444
2022-06-28,106530.19000610353
2022-07-07,164779.0200188447
2022-07-28,175603.28000045774
2022-07-31,113489.7700360871
2022-08-13,120671.89999069218
2022-11-08,100791.62002662658
2022-12-03,126158.42001228334
2022-12-20,90494.11002044674
2023-02-02,150400.4300167084
2023-02-22,185082.40002113345
2023-08-02,153371.47001724236
2022-01-18,111661.00000762942
2023-08-15,112579.88002365116
2023-08-20,120717.94002624512
2021-10-08,174580.87999572756
2021-09-23,174288.49000701902
2021-12-17,168307.4099963379
2021-12-18,139445.95000501638
2022-01-19,160199.7800042726
2022-02-01,118849.7300026703
2022-02-16,171678.8199969482
2022-02-17,195676.95000114443
2022-05-30,96430.80999677174
2022-06-19,116817.01002166748
2022-08-20,122248.65000816344
2022-09-09,154799.67002893443
